Province/states,country,WHO region,WHO region label,date,value
,India,South-East Asia Region,,1/21/20,0
,India,South-East Asia Region,,1/22/20,0
,India,South-East Asia Region,,1/23/20,0
,India,South-East Asia Region,,1/24/20,0
,India,South-East Asia Region,,1/25/20,0
,India,South-East Asia Region,,1/26/20,0
,India,South-East Asia Region,,1/27/20,0
,India,South-East Asia Region,,1/28/20,0
,India,South-East Asia Region,,1/29/20,0
,India,South-East Asia Region,,1/30/20,1
,India,South-East Asia Region,,1/31/20,1
,India,South-East Asia Region,,2/1/20,1
,India,South-East Asia Region,,2/2/20,2
,India,South-East Asia Region,,2/3/20,3
,India,South-East Asia Region,,2/4/20,3
,India,South-East Asia Region,,2/5/20,3
,India,South-East Asia Region,,2/6/20,3
,India,South-East Asia Region,,2/7/20,3
,India,South-East Asia Region,,2/8/20,3
,India,South-East Asia Region,,2/9/20,3
,India,South-East Asia Region,,2/10/20,3
,India,South-East Asia Region,,2/11/20,3
,India,South-East Asia Region,,2/12/20,3
,India,South-East Asia Region,,2/13/20,3
,India,South-East Asia Region,,2/14/20,3
,India,South-East Asia Region,,2/15/20,3
,India,South-East Asia Region,,2/16/20,3
,India,South-East Asia Region,,2/17/20,3
,India,South-East Asia Region,,2/18/20,3
,India,South-East Asia Region,,2/19/20,3
,India,South-East Asia Region,,2/20/20,3
,India,South-East Asia Region,,2/21/20,3
,India,South-East Asia Region,,2/22/20,3
,India,South-East Asia Region,,2/23/20,3
,India,South-East Asia Region,,2/24/20,3
,India,South-East Asia Region,,2/25/20,3
,India,South-East Asia Region,,2/26/20,3
,India,South-East Asia Region,,2/27/20,3
,India,South-East Asia Region,,2/28/20,3
,India,South-East Asia Region,,2/29/20,3
,India,South-East Asia Region,,3/1/20,3
,India,South-East Asia Region,,3/2/20,3
,India,South-East Asia Region,,3/3/20,5
,India,South-East Asia Region,,3/4/20,6
,India,South-East Asia Region,,3/5/20,29
,India,South-East Asia Region,,3/6/20,30
,India,South-East Asia Region,,3/7/20,31
,India,South-East Asia Region,,3/8/20,34
,India,South-East Asia Region,,3/9/20,43
,India,South-East Asia Region,,3/10/20,44
,India,South-East Asia Region,,3/11/20,60
,India,South-East Asia Region,,3/12/20,73
,India,South-East Asia Region,,3/13/20,74
,India,South-East Asia Region,,3/14/20,82
,India,South-East Asia Region,,3/15/20,107
,India,South-East Asia Region,,3/16/20,114
,India,South-East Asia Region,,3/17/20,137
,India,South-East Asia Region,,3/18/20,137
,India,South-East Asia Region,,3/19/20,151
,India,South-East Asia Region,,3/20/20,195
,India,South-East Asia Region,,3/21/20,195
,India,South-East Asia Region,,3/22/20,283
,India,South-East Asia Region,,3/23/20,415
,India,South-East Asia Region,,3/24/20,434
,India,South-East Asia Region,,3/25/20,562
,India,South-East Asia Region,,3/26/20,649
,India,South-East Asia Region,,3/27/20,724
,India,South-East Asia Region,,3/28/20,724
,India,South-East Asia Region,,3/29/20,979
,India,South-East Asia Region,,3/30/20,1071
,India,South-East Asia Region,,3/31/20,1071
,India,South-East Asia Region,,4/1/20,1636
,India,South-East Asia Region,,4/2/20,1636
,India,South-East Asia Region,,4/3/20,1965
,India,South-East Asia Region,,4/4/20,2301
,India,South-East Asia Region,,4/5/20,3374
,India,South-East Asia Region,,4/6/20,4067
,India,South-East Asia Region,,4/7/20,4067
,India,South-East Asia Region,,4/8/20,5194
,India,South-East Asia Region,,4/9/20,5734
,India,South-East Asia Region,,4/10/20,6412
,India,South-East Asia Region,,4/11/20,7447
,India,South-East Asia Region,,4/12/20,8356
,India,South-East Asia Region,,4/13/20,9152
,India,South-East Asia Region,,4/14/20,10363
,India,South-East Asia Region,,4/15/20,11439
,India,South-East Asia Region,,4/16/20,12380
,India,South-East Asia Region,,4/17/20,13387
,India,South-East Asia Region,,4/18/20,14378
,India,South-East Asia Region,,4/19/20,15712
,India,South-East Asia Region,,4/20/20,17265
,India,South-East Asia Region,,4/21/20,18601
,India,South-East Asia Region,,4/22/20,19984
,India,South-East Asia Region,,4/23/20,21393
,India,South-East Asia Region,,4/24/20,23077
,India,South-East Asia Region,,4/25/20,24506
,India,South-East Asia Region,,4/26/20,26496
,India,South-East Asia Region,,4/27/20,27892
,India,South-East Asia Region,,4/28/20,29435
,India,South-East Asia Region,,4/29/20,31332
,India,South-East Asia Region,,4/30/20,33050
,India,South-East Asia Region,,5/1/20,35043
,India,South-East Asia Region,,5/2/20,37336
,India,South-East Asia Region,,5/3/20,39980
,India,South-East Asia Region,,5/4/20,42533
,India,South-East Asia Region,,5/5/20,46433
,India,South-East Asia Region,,5/6/20,49391
,India,South-East Asia Region,,5/7/20,52952
,India,South-East Asia Region,,5/8/20,56342
,India,South-East Asia Region,,5/9/20,59662
,India,South-East Asia Region,,5/10/20,62939
,India,South-East Asia Region,,5/11/20,67152
,India,South-East Asia Region,,5/12/20,70756
,India,South-East Asia Region,,5/13/20,74281
,India,South-East Asia Region,,5/14/20,78003
,India,South-East Asia Region,,5/15/20,81970
,India,South-East Asia Region,,5/16/20,85940
,India,South-East Asia Region,,5/17/20,90927
,India,South-East Asia Region,,5/18/20,96169
,India,South-East Asia Region,,5/19/20,101139
,India,South-East Asia Region,,5/20/20,106750
,India,South-East Asia Region,,5/21/20,112359
,India,South-East Asia Region,,5/22/20,118447
,India,South-East Asia Region,,5/23/20,125101
,India,South-East Asia Region,,5/24/20,131868
,India,South-East Asia Region,,5/25/20,138845
,India,South-East Asia Region,,5/26/20,145380
,India,South-East Asia Region,,5/27/20,151767
,India,South-East Asia Region,,5/28/20,158333
,India,South-East Asia Region,,5/29/20,165799
,India,South-East Asia Region,,5/30/20,173763
,India,South-East Asia Region,,5/31/20,182143
,India,South-East Asia Region,,6/1/20,190535
,India,South-East Asia Region,,6/2/20,198706
,India,South-East Asia Region,,6/3/20,207615
,India,South-East Asia Region,,6/4/20,216919
,India,South-East Asia Region,,6/5/20,226770
,India,South-East Asia Region,,6/6/20,236657
,India,South-East Asia Region,,6/7/20,246628
,India,South-East Asia Region,,6/8/20,256611
,India,South-East Asia Region,,6/9/20,266598
,India,South-East Asia Region,,6/10/20,276583
,India,South-East Asia Region,,6/11/20,286579
,India,South-East Asia Region,,6/12/20,297535
,India,South-East Asia Region,,6/13/20,308993
,India,South-East Asia Region,,6/14/20,320922
,India,South-East Asia Region,,6/15/20,332424
,India,South-East Asia Region,,6/16/20,343091
,India,South-East Asia Region,,6/17/20,354065
,India,South-East Asia Region,,6/18/20,366946
,India,South-East Asia Region,,6/19/20,380532
,India,South-East Asia Region,,6/20/20,
,India,South-East Asia Region,,6/21/20,
,India,South-East Asia Region,,6/22/20,
,India,South-East Asia Region,,6/23/20,
,India,South-East Asia Region,,6/24/20,
,India,South-East Asia Region,,6/25/20,
,India,South-East Asia Region,,6/26/20,
,India,South-East Asia Region,,6/27/20,
,India,South-East Asia Region,,6/28/20,
,India,South-East Asia Region,,6/29/20,
,India,South-East Asia Region,,6/30/20,
,India,South-East Asia Region,,7/1/20,
,India,South-East Asia Region,,7/2/20,
,India,South-East Asia Region,,7/3/20,
,India,South-East Asia Region,,7/4/20,
,India,South-East Asia Region,,7/5/20,
,India,South-East Asia Region,,7/6/20,
,India,South-East Asia Region,,7/7/20,
,India,South-East Asia Region,,7/8/20,
,India,South-East Asia Region,,7/9/20,
,India,South-East Asia Region,,7/10/20,
,India,South-East Asia Region,,7/11/20,
,India,South-East Asia Region,,7/12/20,
,India,South-East Asia Region,,7/13/20,
,India,South-East Asia Region,,7/14/20,
,India,South-East Asia Region,,7/15/20,
,India,South-East Asia Region,,7/16/20,
,India,South-East Asia Region,,7/17/20,
,India,South-East Asia Region,,7/18/20,
,India,South-East Asia Region,,7/19/20,
,India,South-East Asia Region,,7/20/20,
,India,South-East Asia Region,,7/21/20,
,India,South-East Asia Region,,7/22/20,
,India,South-East Asia Region,,7/23/20,
,India,South-East Asia Region,,7/24/20,
,India,South-East Asia Region,,7/25/20,
,India,South-East Asia Region,,7/26/20,
,India,South-East Asia Region,,7/27/20,
,India,South-East Asia Region,,7/28/20,
,India,South-East Asia Region,,7/29/20,
,India,South-East Asia Region,,7/30/20,
,India,South-East Asia Region,,7/31/20,
,India,South-East Asia Region,,8/1/20,
,India,South-East Asia Region,,8/2/20,
,India,South-East Asia Region,,8/3/20,
,India,South-East Asia Region,,8/4/20,
,India,South-East Asia Region,,8/5/20,
,India,South-East Asia Region,,8/6/20,
,India,South-East Asia Region,,8/7/20,
,India,South-East Asia Region,,8/8/20,
,India,South-East Asia Region,,8/9/20,
,India,South-East Asia Region,,8/10/20,
,India,South-East Asia Region,,8/11/20,
,India,South-East Asia Region,,8/12/20,
,India,South-East Asia Region,,8/13/20,
,India,South-East Asia Region,,8/14/20,
,India,South-East Asia Region,,8/15/20,
,India,South-East Asia Region,,8/16/20,
